month month_num  location average_rainfall
1    January         1 Melbourne               NA
2   February         2 Melbourne         46.80000
3      March         3 Melbourne         48.00000
4      April         4 Melbourne         50.10000
5        May         5 Melbourne         57.30000
6       June         6 Melbourne         55.70000
7       July         7 Melbourne         49.50000
8     August         8 Melbourne         47.50000
9  September         9 Melbourne         50.00000
10   October        10 Melbourne         58.00000
11  November        11 Melbourne         66.00000
12  December        12 Melbourne         60.30000
13   January         1    Oxford         56.34845
14  February         2    Oxford         43.24845
15     March         3    Oxford         44.34472
16     April         4    Oxford         45.17640
17       May         5    Oxford         52.59876
18      June         6    Oxford         53.64099
19      July         7    Oxford         58.02112
20    August         8    Oxford         60.39130
21 September         9    Oxford         56.04286
22   October        10    Oxford         66.80870
23  November        11    Oxford         61.10000
24  December        12    Oxford         60.58634
